internal_id,bartlett_id,common_name,genus,latitude,longitude,color_code
1044,807563,Douglas Fir,Pseudotsuga,41.689574454,-73.895714649,ffff00
1080,807599,Oak-Pin,Quercus,41.689234149,-73.893685570,009b04
1133,807985,Hemlock-Canadian,Tsuga,41.688657036,-73.894785107,009b04
1136,807988,Spruce-Norway,Picea,41.688661606,-73.895077291,009b04
1143,807995,Pine-Eastern White,Pinus,41.688509632,-73.894809157,009b04
1182,808034,Larch-Common,Larix,41.688986722,-73.892485547,ffff00
1197,808049,Linden,Tilia,41.689525154,-73.892380444,009b04
1250,808919,Oak-Swamp White,Quercus,41.689732362,-73.890716137,009b04
1354,809023,Spruce-Norway,Picea,41.688818192,-73.891263103,009b04
1366,809035,Spruce-Norway,Picea,41.689325525,-73.891690452,009b04
1380,809742,Dogwood-Flowering,Cornus,41.688595165,-73.892710231,009b04
1427,809789,Yew-English,Taxus,41.688499257,-73.893502861,009b04
1459,809821,Spruce-Norway,Picea,41.689425703,-73.895517651,009b04
1712,811418,Stewartia-Japanese,Stewartia,41.687659104,-73.894193559,009b04
1777,811483,Pine-Eastern White,Pinus,41.685318529,-73.893324461,009b04
1783,811489,Spruce-Norway,Picea,41.685128348,-73.893571437,009b04
1800,811506,Pine-Eastern White,Pinus,41.685701106,-73.894563269,009b04
1889,812431,Hemlock-Canadian,Tsuga,41.684879199,-73.893786112,009b04
2003,813158,Crabapple,Malus,41.683729448,-73.894334217,ffff00
2026,813181,Alder-Speckled,Alnus,41.684215962,-73.895828790,009b04
2189,817663,Dogwood-Flowering,Cornus,41.684511535,-73.892003305,009b04
2227,823611,Crabapple,Malus,41.683847564,-73.891445383,ffff00
2349,823733,Oak-Northern Red,Quercus,41.686135313,-73.891092397,009b04
2415,823799,Pine-Eastern White,Pinus,41.686591561,-73.902313943,009b04
2429,823813,Zelkova-Japanese,Zelkova,41.686017820,-73.902144427,009b04
2441,1369617,Leyland Cypress,x,41.683418551,-73.894700605,009b04
2468,1369622,Douglas Fir,Pseudotsuga,41.688137630,-73.897557763,009b04
2453,1369641,Dogwood-Flowering,Cornus,41.689616866,-73.895447246,ffff00
2455,1369645,Dogwood-Flowering,Cornus,41.689603413,-73.895494704,ffff00
2482,1369650,Magnolia-Star,Magnolia,41.689128909,-73.897369690,ffff00
2484,1369654,Magnolia-Star,Magnolia,41.689665495,-73.897554961,009b04
